timestamp,device_id,data_category,min_value,avg_value,max_value
1774924920,565,14223,0,0,0
1774924920,565,14221,0,0,0
1774924920,565,14215,0,0,0
1774924920,565,14211,0,0,0
1774924980,565,14223,0,0,0
1774924980,565,14221,0,0,0
1774924980,565,14215,0,0,0
1774924980,565,14211,0,0,0
1774925040,565,14223,0,0,0
1774925040,565,14221,0,0,0
1774925040,565,14215,0,0,0
1774925040,565,14211,0,0,0
1774925100,565,14223,0,0,0
1774925100,565,14221,0,0,0
1774925100,565,14215,0,0,0
1774925100,565,14211,0,0,0
1774925160,565,14223,0,0,0
1774925160,565,14221,0,0,0
1774925160,565,14215,0,0,0
1774925160,565,14211,0,0,0
1774925220,565,14223,0,0,0
1774925220,565,14221,0,0,0
1774925220,565,14215,0,0,0
1774925220,565,14211,0,0,0
1774925280,565,14223,0,0,0
1774925280,565,14221,17.68,17.68,17.68
1774925280,565,14215,0,0,0
1774925280,565,14211,0,0.888889,1
1774925340,565,14223,0,0,0
1774925340,565,14221,17.68,17.68,17.68
1774925340,565,14215,0,0,0
1774925340,565,14211,1,1,1
1774925400,565,14223,0,0,0
1774925400,565,14221,17.68,17.68,17.68
1774925400,565,14215,0,0,0
1774925400,565,14211,1,1,1
1774925460,565,14223,0,0,0
1774925460,565,14221,0,0,0
1774925460,565,14215,0,0,0
1774925460,565,14211,1,1,1
1774925520,565,14223,64.19,64.595,64.73
1774925520,565,14221,14.43,14.815,15.97
1774925520,565,14215,0,0,0
1774925520,565,14211,1,1,1
1774925580,565,14223,64.73,64.73,64.73
1774925580,565,14221,14.43,14.43,14.43
1774925580,565,14215,0,0,0
1774925580,565,14211,1,1,1
1774925640,565,14223,64.73,64.73,64.73
1774925640,565,14221,14.43,14.43,14.43
1774925640,565,14215,0,0,0
1774925640,565,14211,1,1,1
1774925700,565,14223,64.73,64.73,64.73
1774925700,565,14221,14.43,14.43,14.43
1774925700,565,14215,0,0,0
1774925700,565,14211,1,1,1
1774925760,565,14223,64.73,64.81,65.05
1774925760,565,14221,14.43,15.2775,17.82
1774925760,565,14215,0,0,0
1774925760,565,14211,1,1,1
1774925820,565,14223,65.05,65.05,65.05
1774925820,565,14221,17.82,17.82,17.82
1774925820,565,14215,0,0,0
1774925820,565,14211,1,1,1
1774925880,565,14223,65.05,65.05,65.05
1774925880,565,14221,17.82,17.82,17.82
1774925880,565,14215,0,0,0
1774925880,565,14211,1,1,1
1774925940,565,14223,65.05,65.05,65.05
1774925940,565,14221,17.82,17.82,17.82
1774925940,565,14215,0,0,0
1774925940,565,14211,1,1,1
1774926000,565,14223,65.05,65.05,65.05
1774926000,565,14221,17.82,17.82,17.82
1774926000,565,14215,0,0,0
1774926000,565,14211,1,1,1
1774926060,565,14223,65.14,65.34,65.94
1774926060,565,14221,17.64,18.1725,19.77
1774926060,565,14215,0,0,0
1774926060,565,14211,1,1,1
1774926120,565,14223,68.19,68.7525,68.94
1774926120,565,14221,16.01,16.495,17.95
1774926120,565,14215,0,0,0
1774926120,565,14211,1,1,1
1774926180,565,14223,68.94,69.346,69.66
1774926180,565,14221,16.01,16.09,16.21
1774926180,565,14215,0,0,0
1774926180,565,14211,1,1,1
1774926240,565,14223,0,0,0
1774926240,565,14221,0,0,0
1774926240,565,14215,0,0,0
1774926240,565,14211,1,1,1
1774926300,565,14223,70.1,70.205,70.4
1774926300,565,14221,16.21,17.0025,18.26
1774926300,565,14215,0,0,0
1774926300,565,14211,1,1,1
1774926360,565,14223,70.22,70.22,70.22
1774926360,565,14221,14.52,16.6275,17.33
1774926360,565,14215,0,0,0
1774926360,565,14211,1,1,1
1774926420,565,14223,69.99,72.075,72.77
1774926420,565,14221,15.82,15.9625,16.39
1774926420,565,14215,0,0,0
1774926420,565,14211,1,1,1
1774926480,565,14223,71.88,71.88,71.88
1774926480,565,14221,15.74,16.01,16.1
1774926480,565,14215,0,0,0
1774926480,565,14211,1,1,1
1774926540,565,14223,70.99,70.99,70.99
1774926540,565,14221,14.32,14.32,14.32
1774926540,565,14215,0,0,0
1774926540,565,14211,1,1,1
1774926600,565,14223,71.76,71.76,71.76
1774926600,565,14221,15.46,15.46,15.46
1774926600,565,14215,0,0,0
1774926600,565,14211,1,1,1
1774926660,565,14223,71.4,71.58,71.76
1774926660,565,14221,15,15.23,15.46
1774926660,565,14215,0,0,0
1774926660,565,14211,1,1,1
1774926720,565,14223,62.69,67.045,71.4
1774926720,565,14221,15,15.675,16.76
1774926720,565,14215,0,0,0
1774926720,565,14211,1,1,1
1774926780,565,14223,62.69,64.684,72.54
1774926780,565,14221,16.58,19.21,20.82
1774926780,565,14215,0,0,0
1774926780,565,14211,1,1,1
1774926840,565,14223,62.77,69.2833,72.54
1774926840,565,14221,20.82,21.32,22.32
1774926840,565,14215,0,0,0
1774926840,565,14211,1,1,1
1774926900,565,14223,62.8,62.8,62.8
1774926900,565,14221,22.32,22.32,22.32
1774926900,565,14215,0,0,0
1774926900,565,14211,1,1,1
1774926960,565,14223,63.5,63.5,63.5
1774926960,565,14221,13.31,15.93,18.46
1774926960,565,14215,0,0,0
1774926960,565,14211,1,1,1
1774927020,565,14223,63.84,63.9,63.96
1774927020,565,14221,15.16,17.825,20.7
1774927020,565,14215,0,0,0
1774927020,565,14211,1,1,1
